batch_index,shift_angstrom,lr_es_kj_mol,lr_pol_kj_mol,lr_disp_kj_mol,sr_es_total_kj_mol,sr_pol_total_kj_mol,exchange_kj_mol,sr_disp_kj_mol,ct_like_kj_mol,dispersion_total_kj_mol,target_total_espol_kj_mol,total_nonbonded_kj_mol,weights
3,-3.2000000000,-0.9805024266,-0.1137160659,-4.1255321503,0.5536729097,0.0485144556,0.5154961400,0.1352873147,-0.0255405489,-3.9902448356,-0.4920311272,-5.0865384700,1.0000000000
3,-2.7250000000,-0.7503395081,-0.0608132333,-2.3675737381,0.5137295276,0.0273758247,0.1169010300,0.0890514329,-0.0063479339,-2.2785223052,-0.2700473890,-3.2491691728,1.0000000000
3,-2.2500000000,-0.5757143497,-0.0339322202,-1.4259505272,0.4104519784,0.0154850297,0.0260534700,0.0630115196,-0.0018696973,-1.3629390076,-0.1837095618,-2.1321113929,1.0000000000
3,-1.5375000000,-0.3907894194,-0.0151962936,-0.7164416909,0.2732798979,0.0067421868,0.0026816000,0.0359689370,-0.0004442871,-0.6804727539,-0.1259636283,-1.2101847112,1.0000000000
3,-0.8250000000,-0.2692922354,-0.0073382859,-0.3860025108,0.1786126941,0.0030494211,0.0002674700,0.0197559875,-0.0001499206,-0.3662465233,-0.0949684060,-0.7377278766,1.0000000000
3,-0.1125000000,-0.1886683106,-0.0037789450,-0.2201303244,0.1167831197,0.0014329501,0.0000229800,0.0107890638,-0.0000596059,-0.2093412606,-0.0742311857,-0.4760563164,1.0000000000
4,-1.5000000000,-8.2794141769,-5.4347162247,-114.2452316284,-52.2959985733,5.6204282045,184.2433824100,65.7916564941,-16.8564940531,-48.4535751343,-60.3897007704,44.8294791085,1.0000000000
4,-1.2333330000,-8.3392801285,-3.6686251163,-63.3508377075,-26.4946317673,3.4466979206,105.5662598100,29.4565811157,-9.5642246189,-33.8942565918,-35.0558390915,15.0440333995,1.0000000000
4,-0.9666670000,-7.4945235252,-2.3498132229,-35.7649307251,-11.3224873543,2.0177872479,57.1042504100,12.1721725464,-4.9378180989,-23.5927581787,-19.1490368545,-0.4196992500,1.0000000000
4,-0.7000000000,-6.3813114166,-1.4829432964,-21.1010551453,-3.1762952805,1.1879336834,29.2887188700,4.6951751709,-2.3596120706,-16.4058799744,-9.8526163101,-7.1936447058,1.0000000000
4,-0.4333330000,-5.3015646935,-0.9414306283,-13.1034698486,0.7315530777,0.7279364914,14.3586273900,1.6666184664,-1.0636167513,-11.4368513823,-4.7835057527,-9.1683420933,1.0000000000
4,0.1000000000,-3.5827119350,-0.3983670771,-5.7685437202,2.7588452697,0.3164222687,3.1291419000,0.1003676131,-0.1958536359,-5.6681761071,-0.9058114737,-7.6217780333,1.0000000000
4,0.6333330000,-2.4371130466,-0.1815282404,-2.8749315739,2.4151137751,0.1551267970,0.6339508400,-0.0553030893,-0.0360779932,-2.9302346632,-0.0484007150,-4.9994039011,1.0000000000
